meter,mode,nps,length,col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,left,right,all,stream_percentage,max_stream_length,jack_percentage,crossover_percentage
9,dance-double,3.9918844418836867,4.472780997942346,4.3700893876911815,2.5455866891393897,3.3567781240865497,2.2743757723983156,2.0591778064764665,2.40309347483556,3.226899209855948,3.802046804297921,0.6265131255169842,0.6504636141556769,0.4011449685887193,63.33333333333333,7,0.0,24.583333333333332
17,dance-double,8.704244783487606,4.541868233317829,2.8732608208723662,1.8881545872430845,1.4253396083524001,0.8924398374874336,0.95868987780408,1.3214263319362853,1.366619183975363,2.092955928446864,0.25870127626227546,0.2633077408555611,0.15385924447839314,98.50993377483444,100,0.0,24.668874172185433
16,dance-double,7.215362324973173,4.914917031037285,2.728934094653478,1.503889985734028,1.4814341787924914,1.286456041739177,1.3315581678104669,1.2165959600266782,2.2382169561202554,2.2390333100077084,0.34930867130463,0.34461373369903786,0.2264260926749291,91.64222873900293,60,0.0,18.7683284457478
17,dance-double,9.229022362964628,4.5899651734451234,2.439636133465483,1.8671391226354266,1.741191484091869,1.0075461235808996,0.972311867383833,1.8534766066935424,2.398435628739168,1.7350070292219741,0.32640782336254653,0.31904602652939384,0.19739954465543139,95.29411764705881,71,0.0,26.47058823529412
3,dance-single,1.499807086360208,4.769947064399505,5.764572205791693,14.204860394987618,13.724678645672503,6.0373288534723955,,,,,3.5318057232377336,3.883079709627839,1.6483013365190817,0.0,0,0.0,59.42028985507246
15,dance-single,7.146348051216707,4.589762088585418,0.8957790690710665,1.036749370253055,1.2988634431347508,0.914547163649668,,,,,0.4727435185210101,0.5290375433211015,0.25079328232256093,91.38321995464852,19,0.0,58.95691609977324
11,dance-double,4.633914367684992,4.775107034568614,7.616920413851481,4.062054496688517,3.5737072371908405,1.7009251068725988,1.61712887890664,3.104241311530946,4.735101331055822,3.30306735646213,0.6241417828166697,0.575279438242294,0.3842333664579268,79.87421383647799,15,0.0,24.21383647798742
17,dance-single,7.425638400685571,4.899249253964971,0.9975606937183986,0.9682967225327836,0.9239065076889099,0.9270837722044566,,,,,0.48740205266761966,0.46653128233676844,0.23104016075929107,95.42682926829268,44,0.0,54.72560975609756
16,dance-double,7.915302091064055,4.6576772434671065,3.450275087823244,2.6640888318613682,1.9297082610119347,0.9815882089550346,0.8973411968703242,1.826058105001083,2.135532810958092,3.4815774356545286,0.3769677033115431,0.36024483640556143,0.21365311827577277,90.25210084033614,63,0.0,29.57983193277311
12,dance-double,5.463307213720055,4.626872967631325,2.312046106698749,1.9982475335960839,2.6525692122785967,1.2835715293817973,1.2463523536485135,1.9643108876680644,2.497024287667975,1.983703268143669,0.4500227339970761,0.43970468404402335,0.2773664305398263,93.1472081218274,15,0.0,20.050761421319795
14,dance-single,7.110647027221804,4.594240675895365,1.0534893195126904,1.0356034481701837,1.0441548935612752,1.0515352136802096,,,,,0.5158850271756191,0.5053430439155031,0.23006861068465684,99.14893617021276,167,0.0,58.08510638297872
12,dance-single,5.158702694944541,4.886582645426277,1.491119152194966,1.346338097526442,1.4087413444993804,1.4373950254827241,,,,,0.7233127333038202,0.7065541572872691,0.3374528388911798,88.88888888888889,9,0.0,59.47712418300654
7,dance-double,3.119102451502512,4.770684624465665,7.781438639909609,8.112629809279413,7.254174506764918,3.565179404762298,3.178529121172853,7.414198020400242,7.265958203732225,10.442477876106187,1.203426965187359,1.1299146727694667,0.6114723901669237,23.636363636363637,3,0.0,29.09090909090909
3,dance-single,1.6882826323491116,4.595129951093676,7.910559895837939,10.03647860139344,5.626419071693064,7.159677206291991,,,,,4.621607237995672,3.8027391937777857,2.0029322361532245,0.0,0,0.0,46.666666666666664
17,dance-single,9.761648532710138,4.585222548178395,0.8390997310134507,0.7399256027858235,0.7171706236549453,0.8033586130462195,,,,,0.3858071913214813,0.38043469958332987,0.1912935757970237,93.45637583892618,64,0.0,56.711409395973156
3,dance-single,2.2684139840064477,4.685126736104018,4.093707086739322,6.039353146582686,5.977983186619672,3.6591430550702406,,,,,2.4467153105217383,2.2450508208472,1.05318984181877,0.0,0,0.0,55.65217391304348
7,dance-single,2.8856140749914667,4.7158614678307185,3.9157513083740825,3.3025461633100366,3.336195249862647,4.002519612911146,,,,,1.668552154114741,1.7384807731467815,0.74560544703247,26.34730538922156,3,0.0,64.07185628742515
10,dance-double,4.443647292003149,4.759032252742031,6.509986432490363,5.339097339566367,3.5024224838121736,2.6096220321014005,2.4922517748545205,3.615747064034656,5.441389169393869,8.479130239843945,0.7039717526261778,0.7106947230665911,0.4594559551513167,54.68164794007491,11,0.0,25.468164794007492
5,dance-single,3.230568702224148,4.769361715909576,2.779311889236832,2.8140827428026314,2.7915326361463637,2.7160813956862864,,,,,1.310376792453747,1.26807289418396,0.6526372812266029,0.0,0,0.0,51.65876777251185
7,dance-double,3.32765201333809,4.775107034568614,4.981016877383748,4.7925059635320295,4.033523135814248,3.0164211850143774,2.9566678048084363,4.390770399737286,6.997191221652691,6.574859447515072,0.8866526913985823,0.8732070571771402,0.5445277062972225,33.49514563106796,3,0.0,22.815533980582526
7,dance-single,3.1621437951694027,4.616110126026426,2.7566974413184298,3.2271890089274518,3.105619139828005,2.6302467893801276,,,,,1.397751801981736,1.3975418363478869,0.6254843876169068,0.0,0,0.0,53.68421052631579
8,dance-double,3.4608104416158367,4.582924577040772,7.220036626314771,4.302385269779883,3.4629979430151585,2.054236356280097,2.5379619251854564,6.326112945896437,5.388755634628431,4.135977974401188,0.7596641731960821,0.9496025756372286,0.47915516679039,0.0,0,0.0,30.851063829787233
